Search Query,Bike Name,Price,Section Title,Section Data
Honda bike,Honda Unicorn,"Rs.3,825",Features,"{'Speedometer': 'Analogue', 'Techometer': 'Analogue', 'Tripmeter': 'Analogue', 'Odometer': 'Analogue', 'Additional Features Of Variant': '3D Wing Mark, Honda Eco Technology, Side Stand Engine Cut off, Seat Length - 715 mm', 'Seat Type': 'Single', 'Stepup Seat': 'With Long Seat', 'Passenger Footrest': 'Yes'}"
Honda bike,Honda Unicorn,"Rs.3,825",Features and Safety,"{'Speedometer': 'Analogue', 'Tachometer': 'Analogue', 'Odometer': 'Analogue', 'Tripmeter': 'Analogue', 'Fuel Gauge': 'Analog', 'Additional Features': '3D Wing Mark, Honda Eco Technology, Side Stand Engine Cut off, Seat Length - 715 mm', 'Stepup Seat': 'With Long Seat', 'Passenger Footrest': 'Yes', 'Engine Kill Switch': 'Yes'}"
Honda bike,Honda Unicorn,"Rs.3,825",Mileage and Performance,{'Overall Mileage': '60 kmpl'}
Honda bike,Honda Unicorn,"Rs.3,825",Chassis and Suspension,{'Body Type': 'Commuter Bikes'}
Honda bike,Honda Unicorn,"Rs.3,825",Dimensions and Capacity,"{'Width': '756 mm', 'Length': '2081 mm', 'Height': '1103 mm', 'Fuel Capacity': '13 L', 'Saddle Height': '798 mm', 'Ground Clearance': '187 mm', 'Wheelbase': '1335 mm', 'Kerb Weight': '140 kg'}"
Honda bike,Honda Unicorn,"Rs.3,825",Electricals,"{'Headlight': 'Halogen', 'Tail Light': 'Bulb', 'Turn Signal Lamp': 'Bulb', 'Low Fuel Indicator': 'Yes'}"
Honda bike,Honda Unicorn,"Rs.3,825",Tyres and Brakes,"{'Front Brake Diameter': '240 mm', 'Rear Brake Diameter': '130 mm'}"
Honda bike,Honda Unicorn,"Rs.3,825",Motor & Battery,"{'Peak Power': '12.91 PS @ 7500 rpm', 'Drive Type': 'Chain Drive', 'Battery Type': 'Lead Acid', 'Transmission': 'Manual'}"
Honda bike,Honda Unicorn,"Rs.3,825",Underpinnings,"{'Suspension Front': 'Telescopic', 'Suspension Rear': 'Hydraulic Type (Monoshock)', 'Brakes Front': 'Disc', 'Brakes Rear': 'Drum', 'ABS': 'Single Channel', 'Tyre Size': 'Front :-80/100-18 Rear :-100/90-18', 'Wheel Size': 'Front :-457.2 mm,Rear :-457.2 mm', 'Wheels Type': 'Alloy', 'Frame': 'Diamond Type', 'Tubeless Tyre': 'Tubeless'}"
Honda bike,Honda Hornet 2.0,"Rs.4,757",Engine and Transmission,"{'Engine Type': '4 Stroke, SI Engine, BS-VI', 'Displacement': '184.4 cc', 'Max Torque': '16.1 Nm @ 6000 rpm', 'Cooling System': 'Air Cooled', 'Starting': 'Self Start Only', 'Fuel Supply': 'Fuel Injection', 'Clutch': 'Multiplate Wet Clutch', 'Gear Box': '5 Speed', 'Bore': '61.0 mm', 'Stroke': '63.09 mm', 'Compression Ratio': '9.5:1', 'Emission Type': 'bs6-2.0'}"
Honda bike,Honda Hornet 2.0,"Rs.4,757",Features,"{'Instrument Console': 'Digital', 'Speedometer': 'Digital', 'Techometer': 'Digital', 'Tripmeter': 'Digital', 'Odometer': 'Digital', 'Additional Features Of Variant': 'Seat Length (590 mm), Hazard Switch', 'Seat Type': 'Split', 'Body Graphics': 'Yes', 'Clock': 'Yes', 'Passenger Footrest': 'Yes'}"
Honda bike,Honda Hornet 2.0,"Rs.4,757",Features and Safety,"{'Service Due Indicator': 'Yes', 'Pass Switch': 'Yes', 'Clock': 'Yes', 'Additional Features': 'Seat Length (590 mm), Hazard Switch', 'Passenger Footrest': 'Yes', 'Engine Kill Switch': 'Yes', 'Display': 'Yes'}"
Honda bike,Honda Hornet 2.0,"Rs.4,757",Mileage and Performance,"{'City Mileage': '57.35 kmpl', 'Highway Mileage': '55.77 kmpl'}"
Honda bike,Honda Hornet 2.0,"Rs.4,757",Chassis and Suspension,"{'Body Type': 'Sports Naked Bikes', 'Body Graphics': 'Yes'}"
Honda bike,Honda Hornet 2.0,"Rs.4,757",Dimensions and Capacity,"{'Width': '783 mm', 'Length': '2047 mm', 'Height': '1064 mm', 'Fuel Capacity': '12 L', 'Ground Clearance': '167 mm', 'Wheelbase': '1355 mm', 'Kerb Weight': '142 kg'}"
