Search Query,Bike Name,Price,Section Title,Section Data
Suzuki bike,Suzuki Gixxer SF 250,"Rs.6,005",Tyres and Brakes,"{'Front Brake Diameter': '300 mm', 'Radial Tyre': 'Yes'}"
Suzuki bike,Suzuki Gixxer SF 250,"Rs.6,005",Motor & Battery,"{'Peak Power': '26.5 PS @ 9300 rpm', 'Drive Type': 'Chain Drive', 'Battery Type': 'Lead Acid', 'Transmission': 'Manual'}"
Suzuki bike,Suzuki Gixxer SF 250,"Rs.6,005",Underpinnings,"{'Suspension Front': 'Telescopic', 'Suspension Rear': 'Swing arm', 'Brakes Front': 'Disc', 'Brakes Rear': 'Disc', 'ABS': 'Dual Channel', 'Tyre Size': 'Front :-110/70-17, Rear :-150/60-17', 'Wheel Size': 'Front :-431.8 mm,Rear :-431.8 mm', 'Wheels Type': 'Alloy', 'Tubeless Tyre': 'Tubeless'}"
Suzuki bike,Suzuki Gixxer SF 250,"Rs.6,005",App Features,"{'Calls & Messaging': 'Yes', 'Navigation assist': 'Yes'}"
Suzuki bike,Suzuki Avenis,"Rs.3,075",Engine and Transmission,"{'Engine Type': '4- Stroke, 1-Cylinder, Air Cooled', 'Displacement': '124.3 cc', 'Max Torque': '10 Nm @ 5500 rpm', 'No. of Cylinders': '1', 'Cooling System': 'Air Cooled', 'Valve Per Cylinder': '2', 'Starting': 'Kick and Self Start', 'Fuel Supply': 'Fuel Injection', 'Gear Box': 'CVT', 'Bore': '52.5 mm', 'Stroke': '57.4 mm', 'Emission Type': 'bs6-2.0'}"
Suzuki bike,Suzuki Avenis,"Rs.3,075",Features,"{'Instrument Console': 'Digital', 'Bluetooth Connectivity': 'Bluetooth', 'Navigation': 'Yes', 'Call/SMS Alerts': 'Yes', 'USB Charging Port': 'Yes', 'Speedometer': 'Digital', 'Tripmeter': 'Digital', 'Odometer': 'Digital', 'Additional Features Of Variant': 'ETA Update, Front Rack For Storage, Front Box With USB Socket, Phone Battery Level Display, Speed Exceeding Alert, Long Floorborad, Side Stand Interlock, Unique App Features - Big & Bold TBT Navigation Icons, Short Distance Indicator Bar, Last Parked Location', 'Seat Type': 'Single', 'Body Graphics': 'Yes', 'Passenger Footrest': 'Yes', 'Carry hook': 'Front & Rear', 'Underseat storage': '21.8 L'}"
Suzuki bike,Suzuki Avenis,"Rs.3,075",Features and Safety,"{'Speedometer': 'Digital', 'External Fuel Filling': 'Yes', 'Odometer': 'Digital', 'Tripmeter': 'Digital', 'Additional Features': 'ETA Update, Front Rack For Storage, Front Box With USB Socket, Phone Battery Level Display, Speed Exceeding Alert, Long Floorborad, Side Stand Interlock, Unique App Features - Big & Bold TBT Navigation Icons, Short Distance Indicator Bar, Last Parked Location', 'Carry Hook': 'Front & Rear', 'Passenger Footrest': 'Yes', 'Engine Kill Switch': 'Yes', 'Display': 'Yes'}"
Suzuki bike,Suzuki Avenis,"Rs.3,075",Mileage and Performance,{'Overall Mileage': '55 kmpl'}
Suzuki bike,Suzuki Avenis,"Rs.3,075",Chassis and Suspension,{'Body Graphics': 'Yes'}
Suzuki bike,Suzuki Avenis,"Rs.3,075",Dimensions and Capacity,"{'Width': '710 mm', 'Length': '1895 mm', 'Height': '1175 mm', 'Fuel Capacity': '5.2 L', 'Saddle Height': '780 mm', 'Ground Clearance': '160 mm', 'Wheelbase': '1265 mm', 'Kerb Weight': '106 kg', 'Additional Storage': '21.8 L'}"
